sepal_length, sepal_width, petal_length, petal_width, setosa, versicolor, virginica
5.10000000000000,3.50000000000000,1.40000000000000,0.200000000000000,1,0,0
4.90000000000000,3,1.40000000000000,0.200000000000000,1,0,0
4.70000000000000,3.20000000000000,1.30000000000000,0.200000000000000,1,0,0
4.60000000000000,3.10000000000000,1.50000000000000,0.200000000000000,1,0,0
5,3.60000000000000,1.40000000000000,0.200000000000000,1,0,0
5.40000000000000,3.90000000000000,1.70000000000000,0.400000000000000,1,0,0
4.60000000000000,3.40000000000000,1.40000000000000,0.300000000000000,1,0,0
5,3.40000000000000,1.50000000000000,0.200000000000000,1,0,0
4.40000000000000,2.90000000000000,1.40000000000000,0.200000000000000,1,0,0
4.90000000000000,3.10000000000000,1.50000000000000,0.100000000000000,1,0,0
5.40000000000000,3.70000000000000,1.50000000000000,0.200000000000000,1,0,0
4.80000000000000,3.40000000000000,1.60000000000000,0.200000000000000,1,0,0
4.80000000000000,3,1.40000000000000,0.100000000000000,1,0,0
4.30000000000000,3,1.10000000000000,0.100000000000000,1,0,0
5.80000000000000,4,1.20000000000000,0.200000000000000,1,0,0
5.70000000000000,4.40000000000000,1.50000000000000,0.400000000000000,1,0,0
5.40000000000000,3.90000000000000,1.30000000000000,0.400000000000000,1,0,0
5.10000000000000,3.50000000000000,1.40000000000000,0.300000000000000,1,0,0
5.70000000000000,3.80000000000000,1.70000000000000,0.300000000000000,1,0,0
5.10000000000000,3.80000000000000,1.50000000000000,0.300000000000000,1,0,0
5.40000000000000,3.40000000000000,1.70000000000000,0.200000000000000,1,0,0
5.10000000000000,3.70000000000000,1.50000000000000,0.400000000000000,1,0,0
4.60000000000000,3.60000000000000,1,0.200000000000000,1,0,0
5.10000000000000,3.30000000000000,1.70000000000000,0.500000000000000,1,0,0
4.80000000000000,3.40000000000000,1.90000000000000,0.200000000000000,1,0,0
5,3,1.60000000000000,0.200000000000000,1,0,0
5,3.40000000000000,1.60000000000000,0.400000000000000,1,0,0
5.20000000000000,3.50000000000000,1.50000000000000,0.200000000000000,1,0,0
5.20000000000000,3.40000000000000,1.40000000000000,0.200000000000000,1,0,0
4.70000000000000,3.20000000000000,1.60000000000000,0.200000000000000,1,0,0
4.80000000000000,3.10000000000000,1.60000000000000,0.200000000000000,1,0,0
5.40000000000000,3.40000000000000,1.50000000000000,0.400000000000000,1,0,0
5.20000000000000,4.10000000000000,1.50000000000000,0.100000000000000,1,0,0
5.50000000000000,4.20000000000000,1.40000000000000,0.200000000000000,1,0,0
4.90000000000000,3.10000000000000,1.50000000000000,0.100000000000000,1,0,0
5,3.20000000000000,1.20000000000000,0.200000000000000,1,0,0
5.50000000000000,3.50000000000000,1.30000000000000,0.200000000000000,1,0,0
4.90000000000000,3.10000000000000,1.50000000000000,0.100000000000000,1,0,0
4.40000000000000,3,1.30000000000000,0.200000000000000,1,0,0
5.10000000000000,3.40000000000000,1.50000000000000,0.200000000000000,1,0,0
5,3.50000000000000,1.30000000000000,0.300000000000000,1,0,0
4.50000000000000,2.30000000000000,1.30000000000000,0.300000000000000,1,0,0
4.40000000000000,3.20000000000000,1.30000000000000,0.200000000000000,1,0,0
5,3.50000000000000,1.60000000000000,0.600000000000000,1,0,0
5.10000000000000,3.80000000000000,1.90000000000000,0.400000000000000,1,0,0
4.80000000000000,3,1.40000000000000,0.300000000000000,1,0,0
5.10000000000000,3.80000000000000,1.60000000000000,0.200000000000000,1,0,0
4.60000000000000,3.20000000000000,1.40000000000000,0.200000000000000,1,0,0
5.30000000000000,3.70000000000000,1.50000000000000,0.200000000000000,1,0,0
5,3.30000000000000,1.40000000000000,0.200000000000000,1,0,0
7,3.20000000000000,4.70000000000000,1.40000000000000,0,1,0
6.40000000000000,3.20000000000000,4.50000000000000,1.50000000000000,0,1,0
6.90000000000000,3.10000000000000,4.90000000000000,1.50000000000000,0,1,0
5.50000000000000,2.30000000000000,4,1.30000000000000,0,1,0
6.50000000000000,2.80000000000000,4.60000000000000,1.50000000000000,0,1,0
5.70000000000000,2.80000000000000,4.50000000000000,1.30000000000000,0,1,0
6.30000000000000,3.30000000000000,4.70000000000000,1.60000000000000,0,1,0
4.90000000000000,2.40000000000000,3.30000000000000,1,0,1,0
6.60000000000000,2.90000000000000,4.60000000000000,1.30000000000000,0,1,0
5.20000000000000,2.70000000000000,3.90000000000000,1.40000000000000,0,1,0
5,2,3.50000000000000,1,0,1,0
5.90000000000000,3,4.20000000000000,1.50000000000000,0,1,0
6,2.20000000000000,4,1,0,1,0
6.10000000000000,2.90000000000000,4.70000000000000,1.40000000000000,0,1,0
5.60000000000000,2.90000000000000,3.60000000000000,1.30000000000000,0,1,0
6.70000000000000,3.10000000000000,4.40000000000000,1.40000000000000,0,1,0
5.60000000000000,3,4.50000000000000,1.50000000000000,0,1,0
5.80000000000000,2.70000000000000,4.10000000000000,1,0,1,0
6.20000000000000,2.20000000000000,4.50000000000000,1.50000000000000,0,1,0
5.60000000000000,2.50000000000000,3.90000000000000,1.10000000000000,0,1,0
5.90000000000000,3.20000000000000,4.80000000000000,1.80000000000000,0,1,0
6.10000000000000,2.80000000000000,4,1.30000000000000,0,1,0
6.30000000000000,2.50000000000000,4.90000000000000,1.50000000000000,0,1,0
6.10000000000000,2.80000000000000,4.70000000000000,1.20000000000000,0,1,0
6.40000000000000,2.90000000000000,4.30000000000000,1.30000000000000,0,1,0
6.60000000000000,3,4.40000000000000,1.40000000000000,0,1,0
6.80000000000000,2.80000000000000,4.80000000000000,1.40000000000000,0,1,0
6.70000000000000,3,5,1.70000000000000,0,1,0
6,2.90000000000000,4.50000000000000,1.50000000000000,0,1,0
5.70000000000000,2.60000000000000,3.50000000000000,1,0,1,0
5.50000000000000,2.40000000000000,3.80000000000000,1.10000000000000,0,1,0
5.50000000000000,2.40000000000000,3.70000000000000,1,0,1,0
5.80000000000000,2.70000000000000,3.90000000000000,1.20000000000000,0,1,0
6,2.70000000000000,5.10000000000000,1.60000000000000,0,1,0
5.40000000000000,3,4.50000000000000,1.50000000000000,0,1,0
6,3.40000000000000,4.50000000000000,1.60000000000000,0,1,0
6.70000000000000,3.10000000000000,4.70000000000000,1.50000000000000,0,1,0
6.30000000000000,2.30000000000000,4.40000000000000,1.30000000000000,0,1,0
5.60000000000000,3,4.10000000000000,1.30000000000000,0,1,0
5.50000000000000,2.50000000000000,4,1.30000000000000,0,1,0
5.50000000000000,2.60000000000000,4.40000000000000,1.20000000000000,0,1,0
6.10000000000000,3,4.60000000000000,1.40000000000000,0,1,0
5.80000000000000,2.60000000000000,4,1.20000000000000,0,1,0
5,2.30000000000000,3.30000000000000,1,0,1,0
5.60000000000000,2.70000000000000,4.20000000000000,1.30000000000000,0,1,0
5.70000000000000,3,4.20000000000000,1.20000000000000,0,1,0
5.70000000000000,2.90000000000000,4.20000000000000,1.30000000000000,0,1,0
6.20000000000000,2.90000000000000,4.30000000000000,1.30000000000000,0,1,0
5.10000000000000,2.50000000000000,3,1.10000000000000,0,1,0
5.70000000000000,2.80000000000000,4.10000000000000,1.30000000000000,0,1,0
6.30000000000000,3.30000000000000,6,2.50000000000000,0,0,1
5.80000000000000,2.70000000000000,5.10000000000000,1.90000000000000,0,0,1
7.10000000000000,3,5.90000000000000,2.10000000000000,0,0,1
6.30000000000000,2.90000000000000,5.60000000000000,1.80000000000000,0,0,1
6.50000000000000,3,5.80000000000000,2.20000000000000,0,0,1
7.60000000000000,3,6.60000000000000,2.10000000000000,0,0,1
4.90000000000000,2.50000000000000,4.50000000000000,1.70000000000000,0,0,1
7.30000000000000,2.90000000000000,6.30000000000000,1.80000000000000,0,0,1
6.70000000000000,2.50000000000000,5.80000000000000,1.80000000000000,0,0,1
7.20000000000000,3.60000000000000,6.10000000000000,2.50000000000000,0,0,1
6.50000000000000,3.20000000000000,5.10000000000000,2,0,0,1
6.40000000000000,2.70000000000000,5.30000000000000,1.90000000000000,0,0,1
6.80000000000000,3,5.50000000000000,2.10000000000000,0,0,1
5.70000000000000,2.50000000000000,5,2,0,0,1
5.80000000000000,2.80000000000000,5.10000000000000,2.40000000000000,0,0,1
6.40000000000000,3.20000000000000,5.30000000000000,2.30000000000000,0,0,1
6.50000000000000,3,5.50000000000000,1.80000000000000,0,0,1
7.70000000000000,3.80000000000000,6.70000000000000,2.20000000000000,0,0,1
7.70000000000000,2.60000000000000,6.90000000000000,2.30000000000000,0,0,1
6,2.20000000000000,5,1.50000000000000,0,0,1
6.90000000000000,3.20000000000000,5.70000000000000,2.30000000000000,0,0,1
5.60000000000000,2.80000000000000,4.90000000000000,2,0,0,1
7.70000000000000,2.80000000000000,6.70000000000000,2,0,0,1
6.30000000000000,2.70000000000000,4.90000000000000,1.80000000000000,0,0,1
6.70000000000000,3.30000000000000,5.70000000000000,2.10000000000000,0,0,1
7.20000000000000,3.20000000000000,6,1.80000000000000,0,0,1
6.20000000000000,2.80000000000000,4.80000000000000,1.80000000000000,0,0,1
6.10000000000000,3,4.90000000000000,1.80000000000000,0,0,1
6.40000000000000,2.80000000000000,5.60000000000000,2.10000000000000,0,0,1
7.20000000000000,3,5.80000000000000,1.60000000000000,0,0,1
7.40000000000000,2.80000000000000,6.10000000000000,1.90000000000000,0,0,1
7.90000000000000,3.80000000000000,6.40000000000000,2,0,0,1
6.40000000000000,2.80000000000000,5.60000000000000,2.20000000000000,0,0,1
6.30000000000000,2.80000000000000,5.10000000000000,1.50000000000000,0,0,1
6.10000000000000,2.60000000000000,5.60000000000000,1.40000000000000,0,0,1
7.70000000000000,3,6.10000000000000,2.30000000000000,0,0,1
6.30000000000000,3.40000000000000,5.60000000000000,2.40000000000000,0,0,1
6.40000000000000,3.10000000000000,5.50000000000000,1.80000000000000,0,0,1
6,3,4.80000000000000,1.80000000000000,0,0,1
6.90000000000000,3.10000000000000,5.40000000000000,2.10000000000000,0,0,1
6.70000000000000,3.10000000000000,5.60000000000000,2.40000000000000,0,0,1
6.90000000000000,3.10000000000000,5.10000000000000,2.30000000000000,0,0,1
5.80000000000000,2.70000000000000,5.10000000000000,1.90000000000000,0,0,1
6.80000000000000,3.20000000000000,5.90000000000000,2.30000000000000,0,0,1
6.70000000000000,3.30000000000000,5.70000000000000,2.50000000000000,0,0,1
6.70000000000000,3,5.20000000000000,2.30000000000000,0,0,1
6.30000000000000,2.50000000000000,5,1.90000000000000,0,0,1
6.50000000000000,3,5.20000000000000,2,0,0,1
6.20000000000000,3.40000000000000,5.40000000000000,2.30000000000000,0,0,1
5.90000000000000,3,5.10000000000000,1.80000000000000,0,0,1
